ingredientes,Caloric Value,Carbohydrates,Protein,Fat,label
"chickpea flour, baked beans canned, lard vegetable oil, hanfprotein pulver rohkostqualitat veganz",817,121.10000000000001,32.7,23.0,0
"coffee liqueur, chicken drumstick raw",307,13.9,23.441,12.438,1
"vegetable beef soup, cauliflower raw, raspberries, barley raw",178,20.7,19.6,2.215,1
"cheese ravioli canned, ginger ground",192,34.3,6.2,3.543,1
"tahitian taro cooked, baked taco shell",121,17.700000000000003,6.5,3.6,1
"fenugreek seeds, veal tongue cooked, raisin cookies, gjetost cheese",1669,113.5,91.0,95.5,0
"lemon peel, amaranth cooked, cranberry beans canned",468,85.6,23.732,4.601999999999999,1
"red cabbage raw, oyster raw, lemon meringue pie, cottonseed oil",576,64.7,11.9,31.499999999999996,0
"original taco with beef cheese lettuce taco bell, chicken drumstick fried",351,19.7,21.9,20.1,1
"pork blade roll raw, chervil dried",81,0.9,5.1000000000000005,6.202,1
"parboiled white rice raw, kale cooked, beef salami cooked",802,156.4,20.7,9.1,0
"shiitake mushrooms cooked, vanilla fudge, chocolate semisweet, pork backribs roasted",3488,133.2,209.70000000000002,240.80700000000002,0
"vivaldi potatoes sainsburys, margarine with salt",123,0.017,0.031,11.4,1
"pheasant meat raw, yam raw, emu fillet cooked, burbot cooked",2336,41.8,329.40000000000003,84.6,0
"grapefruit, mackerel cooked",284,13.3,22.0,15.899999999999999,1
"grenadine, chicken broth soup",132,15.3,11.1,2.6,1
"lemon meringue pie, seaweed dry, pine nuts dried",1323,76.60000000000001,26.400000000000002,108.99999999999999,0
"pinyon pine nuts dried, peas onions canned",62,10.31,3.983,0.573,1
"kohlrabi cooked, burrito with beans cheese beef",213,30.8,10.3,6.8,1
"cuttlefish cooked, turnips raw, hand breaded chicken tenders carls jr, cream of onion soup",421,44.2,17.5,16.3,1
"pork blade chops cooked, lamb leg raw, weizenbier erdinger",1528,1.1,113.6,110.0,0
"oat bran bread toasted, black tea",72,12.5,3.1,1.3,1
"bartlett pear, mustard spinach cooked",141,31.6,3.8,0.7,1
"kumquat, brown gravy instant, fruit jam",94,20.8,1.0,1.0950000000000002,1
"mustard greens cooked, fruit punch, sweet sour dressing, potato chips reduced fat",937,145.0,15.982,36.5,0
"sheepshead raw, conch baked, kale raw, coffee liqueur",525,16.9,82.14099999999999,7.538,1
"whiskey, vanilla yogurt low fat",266,33.9,12.1,3.1,1
"zwieback, rice drink, zaziki milfina",194,27.2,1.4,7.4,1
"pickle pimiento loaf, gingersnap cookies, cod cooked",304,8.600000000000001,45.8,8.299999999999999,1
"swamp cabbage, cheese bread, beef top sirloin steak raw, chicken soup",1612,42.0,142.8,94.0,0
"cranberry beans raw, raspberries canned",886,176.89999999999998,47.0,2.6999999999999997,0
"breadfruit seeds, pork feet cooked, pork brain cooked, sour cherries",703,21.3,55.800000000000004,42.8,0
"horchata, walleye pike cooked, apple dippers mcdonalds, chili with beans canned",483,42.0,45.1,16.2,1
"vanilla sandwich cookie, kiwifruit green, oyster raw, chickpea flour",511,76.6,26.8,10.8,1
"roquefort cheese dressing, crackers, semillon white wine",218,14.8,2.0,5.300000000000001,1
"jellyfish dried, swiss chard cooked",56,7.2,6.5,0.9,1
"tapioca pudding, chicken meat raw",2121,23.9,173.2,142.9,0
"meatless meatloaf, tapioca pudding, fenugreek seeds, cornmeal yellow",870,159.6,27.7,12.7,0
"crayfish raw, veal breast cooked, turkey patty fried",835,4.4,80.8,52.548,0
"oat bran bread, sturgeon cooked",255,11.9,31.3,8.3,1
"chickpeas cooked, pie crust",390,55.9,16.0,12.2,1
"gushers fruit gushers, blue cheese dressing, halibut raw",802,0.8999999999999999,75.9,19.1,1
"carambola starfruit, catfish raw, steak sauce, bulgur dry",402,47.300000000000004,31.399999999999995,10.404,1
"chocolate soymilk nonfat, chrysanthemum raw, spaghetti dry, vegetable soup with beef broth",386,69.60000000000001,17.4,4.546,1
"kamut cooked, turkey fat",296,52.4,11.1,6.6,1
"red lettuce, fruit leather, veal brain cooked, fish fillet fried",728,28.0,52.629,44.28,0
"mung beans cooked, potato wedges kentucky fried chicken, poached egg, rye dinner roll",786,106.89999999999999,30.299999999999997,26.8,0
"scrambled eggs mcdonalds, chocolate covered graham crackers, herring kippered, gourd cooked",353,35.7,19.5,16.200000000000003,1
"ostrich strip raw, baby lima beans cooked",297,35.0,32.1,2.9,1
"walnut, green goddess dressing, gjetost cheese, amaranth raw",1192,105.1,24.4,77.5,0
"blue mussels cooked, grapes canned",442,40.0,48.800000000000004,9.3,1
"barley cooked, onion rings burger king",572,84.0,7.0,23.7,0
"tilsit cheese, gruyere cheese",252,0.9,18.1,19.5,1
"squid raw, full throttle coca cola, veal brain cooked",597,29.9,43.9,33.2,1
"whole wheat dry, worcestershire sauce",109,24.400000000000002,3.1,0.6,1
"ham raw, soybean dry roasted, prunes",922,92.746,63.2,38.8,0
"cheese spread, cheshire cheese",818,9.8,23.6,77.3,0
"riesling white wine, peas canned, red peppers canned, pumpkin pie",506,59.6,11.3,15.258000000000001,1
"biscuit with sausage, chia seeds dried, bluefin tuna raw",591,45.199999999999996,21.999999999999996,37.2,1
"ostrich top loin raw, chicken sandwich with cheese, hickorynuts dried",1521,63.5,63.099999999999994,118.5,0
"egg yolk dried, vanilla fudge",135,23.253999999999998,1.6,3.8,1
"coho salmon raw, raspberries, eastern oyster fried",288,2.9,35.199999999999996,14.034,1
"sirloin steak, honey cereali general mills, cabbage raw",498,19.2,53.1,16.400000000000002,1
"veggie burger, chewing gum, big n tasty mcdonalds",659,51.4,35.7,36.132,1
"veal leg round raw, apricot nectar, cheese puffs, ground turkey raw",1036,54.300000000000004,120.6,35.7,0
"prune plums canned, steak sandwich",486,59.0,30.5,14.174999999999999,1
"fruitcake, powerade coca cola, blue crab raw",166,28.818,5.0,4.109,1
"pork beef salami cooked, acorn squash raw",213,45.199999999999996,6.1,3.6,1
"kamut raw, sesame flour, lotus seeds dried",1391,184.79999999999998,70.7,51.1,0
"watermelon, stockpot soup, cottonseed flour low fat",381,54.9,25.599999999999998,8.6,1
"mcchicken mcdonalds, general tsos chicken",1936,164.9,82.7,104.8,0
"yellow cake with vanilla frosting, veal meat raw",892,37.6,90.0,40.0,0
"mushrooms cooked, blackberries raw",106,22.1,5.4,1.4,1
"zucchini cooked, spanish peanuts roasted",878,30.5,43.300000000000004,72.69999999999999,0
"turkey roll, crab soup, black walnut dried, tapioca pudding fat free",271,37.5,18.1,6.1,1
"egg bread toasted, buckwheat flour",519,104.2,19.0,6.1,1
"brussels sprouts raw, ground lamb raw, premium grilled chicken ranch blt sandwich mcdonalds, chocolate chip granola bar",605,63.3,40.800000000000004,21.477,1
"hazelnuts raw, yellow cake with chocolate frosting, beef liver cooked, carob",1282,109.8,37.599999999999994,82.6,0
"zaziki milfina, white grapefruit juice, tree fern cooked",204,38.0,1.6,4.696000000000001,1
"japanese persimmon, focaccia, mustard",263,51.9,6.2,5.0,1
"kanpyo dried, potato chips sour cream and onion",1190,137.1,20.6,67.39999999999999,0
"microwave popcorn, shallots dried",468,50.5,7.3999999999999995,26.313000000000002,0
"butterfish cooked, anchovy canned in oil, sheanut oil",1982,0.0,6.7,221.0,0
"white bread toasted, chicken breast cooked, buttermilk pancakes, vanilla wafer pie crust",1218,114.70000000000002,28.9,72.8,0
"tamarind nectar, kamut raw",770,167.9,27.5,4.3999999999999995,0
"peach dried, buckwheat raw",240,59.4,4.6,1.0,1
"pinto beans canned, lotus root raw",282,56.2,14.0,1.4000000000000001,1
"rye dinner roll, veal shank raw",636,22.8,91.30000000000001,17.3,1
"millet puffed, turkey ham, american grapes, water",114,17.5,8.235,2.387,1
"chicken feet cooked, clif bar, kale cooked",1252,51.699999999999996,101.5,71.60000000000001,0
"chicken neck cooked, walleye pike cooked",242,0.0,37.9,8.8,1
"lamb shank raw, limeade",1040,34.1,84.3,61.2,0
"fruit fried pie, papaya canned, flounder cooked, jute cooked",625,82.6,26.401,24.0,1
"sturgeon cooked, honeydew melon, big n tasty with cheese mcdonalds, cheese pizza",1106,91.5,68.6,53.6,0
"red peppers canned, leeks raw, beef shoulder steak raw, agave syrup",439,21.599999999999998,50.225,17.739,1
"cinnamon coffeecake, japanese somen noodles cooked, crayfish raw",472,75.1,11.5,13.648000000000001,0
"salmon raw, virginia peanuts raw, rice bran oil, whelk raw",1805,26.3,124.4,138.0,0
"chickpeas cooked, cabbage raw",339,61.2,18.1,4.5,1
"corn pasta cooked, vegetable chicken soup, beef brisket cooked, pinot noir red wine",1052,63.6,62.1,49.4,0
"waffle, corn grits cooked, rice pilaf raw, chow mein stir fry master foods",1158,218.29999999999998,31.6,14.799999999999999,0
"mozzarella cheese, pina colada",335,32.7,7.3,9.3,1
"pepper jack cheese lucerne, fruit coffeecake",231,25.8,7.6,11.1,1
"honey, chicken egg roll, pear canned, wheat puffed",304,59.5,10.580000000000002,3.701,1
"cottage fries, ground veal cooked, cream of asparagus soup",699,23.4,77.7,31.2,1
"pumpkin squash seeds roasted, baked beans",356,44.5,13.5,14.200000000000001,1
"orange grapefruit juice, pumpkin seed sunfish raw",149,25.4,10.8,0.5,1
"herring raw, kiwifruit green, cranberry apricot juice, chicken patty",662,57.5,43.199999999999996,28.7,1
"beef gravy instant, soy margarine, golden delicious apple",175,18.9,1.0,10.7,1
"shortbread cookies, peanut bar",249,24.2,6.7,15.4,1
"grape soda, goose fat, bacon tomato dressing",254,42.0,0.3,10.3,1
"endive, potato skin raw, okra, lemonade low calorie",42,8.9,1.8920000000000001,0.281,1
"lemons, peanut butter sandwich cookies",84,14.6,1.7999999999999998,3.2,1
"taro shoots cooked, poultry seasoning, vanilla fudge, onion soup",255,46.99999999999999,9.2,5.3999999999999995,1
"chimichanga with beef cheese, japanese persimmon dried",536,64.3,20.6,23.599999999999998,1
"yellow tomato, kanpyo dried",171,41.4,6.699999999999999,0.8999999999999999,1
"chicken pot pie, roquefort cheese",912,59.0,32.9,60.6,0
"mushrooms cooked, russet potato baked, teff raw",1042,213.5,37.0,5.7,0
"pork feet pickled, yachtwurst cooked",785,0.8290000000000001,61.099999999999994,58.2,0
"hungarian pepper, beef spleen cooked",455,1.8,77.5,13.0,1
"rum, acorn raw, tomatoes canned, vanilla yoghurt oikos",356,29.1,5.7,9.299999999999999,1
"espresso decaffeinated, pimento canned, roast beef sandwich, burdock root cooked",557,78.5,28.265000000000004,16.111,1
"onion raw, mushrooms raw, chocolate rasberry protein mini proteinfx, milk chocolate",170,10.2,3.1,5.248,1
"muesli master crumble, pulled pork in barbecue sauce, oatmeal cookies with raisins, premium crispy chicken club sandwich mcdonalds",1242,118.89999999999999,75.30000000000001,45.699999999999996,0
"mayonnaise dressing, wasabi root, chow mein noodles, elderberries",608,94.866,13.100000000000001,23.1,0
"pork beef salami cooked, dessert wine dry, whiting cooked",885,58.699999999999996,20.599999999999998,4.4,1
"prune juice, vegetable oil spread fat free, abiyuch",345,85.20000000000002,5.2,0.706,0
"lychee, fruit coffeecake, rice pilaf raw",894,183.1,23.924000000000003,7.9159999999999995,0
"nopales raw, snap beans cooked, salmon raw, salsa sauce",887,14.0,84.7,53.602000000000004,0
"fruitcake, teff cooked, soybean lecithin oil, cupu assu oil",618,76.5,11.0,32.7,0
"cassava, loganberries, tomato beef noodle soup, oriental radish cooked",717,144.8,14.900000000000002,10.1,0
"ground lamb cooked, mullet cooked",1026,0.0,100.6,66.0,0
"feta cheese, corn flour whole grain",502,91.10000000000001,12.399999999999999,10.9,0
"beef top blade cooked, hand breaded chicken tenders carls jr",241,0.2,21.9,12.9,1
"butterfish raw, sesame meal, quarter pounder with cheese mcdonalds",720,47.1,39.3,44.5,0
"wolffish raw, english muffin toasted, pork country style ribs cooked, sweet cinnamon rolls",978,69.6,86.9,37.2,0
